gs-skipgram-93: {'nmi': 58.6995, 'ari': 56.2223, 'acc': 73.936, 'loss': 0.0212}
gs-skipgram-94: {'nmi': 59.1727, 'ari': 57.0191, 'acc': 74.8987, 'loss': 0.0199}
gs-skipgram-95: {'nmi': 59.2097, 'ari': 57.144, 'acc': 75.5993, 'loss': 0.0216}
gs-skipgram-96: {'nmi': 58.872, 'ari': 56.299, 'acc': 74.2707, 'loss': 0.022}
gs-skipgram-97: {'nmi': 58.8076, 'ari': 56.2609, 'acc': 74.2565, 'loss': 0.021}
gs-skipgram-98: {'nmi': 58.3095, 'ari': 55.5347, 'acc': 73.2828, 'loss': 0.0219}
gs-skipgram-99: {'nmi': 59.2579, 'ari': 57.1582, 'acc': 75.1333, 'loss': 0.0225}
gs-skipgram-100: {'nmi': 59.274, 'ari': 57.1214, 'acc': 75.6179, 'loss': 0.021}

bm-tfidf(eig)-1: {'nmi': 12.4769, 'ari': 5.4322, 'acc': 18.975, 'loss': 3.4392}
bm-tfidf(eig)-2: {'nmi': 10.2863, 'ari': 4.2167, 'acc': 16.9773, 'loss': 0.5814}
bm-tfidf(eig)-3: {'nmi': 9.6782, 'ari': 3.9333, 'acc': 16.355, 'loss': 0.1323}
bm-tfidf(eig)-4: {'nmi': 9.7933, 'ari': 3.9469, 'acc': 16.5048, 'loss': 0.0637}
bm-tfidf(eig)-5: {'nmi': 9.8666, 'ari': 4.1941, 'acc': 16.7105, 'loss': 0.0471}
bm-tfidf(eig)-6: {'nmi': 10.1071, 'ari': 4.3775, 'acc': 17.184, 'loss': 0.0385}
bm-tfidf(eig)-7: {'nmi': 10.3195, 'ari': 4.4857, 'acc': 17.2665, 'loss': 0.0335}
bm-tfidf(eig)-8: {'nmi': 10.8249, 'ari': 4.8243, 'acc': 17.998, 'loss': 0.0327}
bm-tfidf(eig)-9: {'nmi': 11.2714, 'ari': 5.0556, 'acc': 18.206, 'loss': 0.0306}
bm-tfidf(eig)-10: {'nmi': 10.8499, 'ari': 4.7134, 'acc': 17.565, 'loss': 0.03}
bm-tfidf(eig)-11: {'nmi': 11.3283, 'ari': 5.0986, 'acc': 18.595, 'loss': 0.0296}
bm-tfidf(eig)-12: {'nmi': 11.2339, 'ari': 5.0604, 'acc': 18.4445, 'loss': 0.0275}
